scorer,,,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy,randy
individuals,,,left,left,left,left,left,left,left,left,left,left,left,left,left,left,right,right,right,right,right,right,right,right,right,right,right,right,right,right
bodyparts,,,k1,k1,k2,k2,k3,k3,k4,k4,k5,k5,k6,k6,k7,k7,k1,k1,k2,k2,k3,k3,k4,k4,k5,k5,k6,k6,k7,k7
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,vid0,000000000003.png,230.0,159.0,349.0,200.0,453.0,188.0,568.0,245.0,566.0,266.0,368.0,279.0,330.0,293.0,968.0,688.0,859.0,719.0,784.0,721.0,707.0,798.0,695.0,782.0,847.0,758.0,890.0,780.0
labeled-data,vid0,000000000007.png,237.0,168.0,356.0,209.0,459.0,197.0,574.0,252.0,572.0,274.0,374.0,289.0,337.0,301.0,978.0,686.0,869.0,718.0,792.0,720.0,715.0,797.0,703.0,780.0,856.0,757.0,899.0,778.0
labeled-data,vid0,000000000011.png,241.0,176.0,361.0,217.0,463.0,205.0,577.0,261.0,576.0,283.0,377.0,296.0,341.0,309.0,987.0,684.0,876.0,716.0,800.0,718.0,723.0,796.0,711.0,779.0,864.0,756.0,907.0,777.0
labeled-data,vid0,000000000015.png,247.0,185.0,364.0,225.0,467.0,213.0,580.0,267.0,579.0,290.0,381.0,304.0,345.0,317.0,994.0,683.0,884.0,715.0,807.0,717.0,729.0,795.0,717.0,777.0,871.0,754.0,914.0,776.0
labeled-data,vid0,000000000019.png,248.0,194.0,365.0,233.0,468.0,220.0,580.0,270.0,580.0,294.0,383.0,311.0,346.0,325.0,1002.0,680.0,891.0,713.0,815.0,715.0,735.0,791.0,722.0,770.0,878.0,752.0,922.0,774.0
labeled-data,vid0,000000000023.png,252.0,202.0,368.0,242.0,471.0,228.0,582.0,272.0,583.0,299.0,386.0,319.0,350.0,333.0,1011.0,675.0,899.0,708.0,822.0,710.0,741.0,784.0,728.0,761.0,886.0,747.0,929.0,769.0
labeled-data,vid0,000000000027.png,256.0,211.0,371.0,250.0,474.0,237.0,583.0,272.0,586.0,303.0,389.0,326.0,352.0,341.0,1020.0,670.0,907.0,702.0,830.0,704.0,746.0,775.0,734.0,749.0,894.0,742.0,938.0,764.0
labeled-data,vid0,000000000031.png,260.0,221.0,373.0,259.0,476.0,246.0,582.0,273.0,589.0,307.0,391.0,336.0,354.0,350.0,1029.0,664.0,916.0,696.0,838.0,698.0,753.0,765.0,741.0,736.0,903.0,735.0,947.0,757.0
labeled-data,vid0,000000000035.png,261.0,232.0,374.0,270.0,475.0,257.0,578.0,275.0,587.0,312.0,391.0,347.0,354.0,361.0,1038.0,656.0,925.0,689.0,848.0,690.0,758.0,754.0,748.0,720.0,912.0,728.0,956.0,751.0
labeled-data,vid0,000000000039.png,264.0,244.0,376.0,280.0,477.0,267.0,575.0,277.0,588.0,317.0,392.0,356.0,356.0,371.0,1048.0,649.0,934.0,681.0,857.0,683.0,765.0,741.0,756.0,705.0,921.0,721.0,964.0,743.0
labeled-data,vid0,000000000043.png,267.0,255.0,377.0,291.0,478.0,279.0,570.0,279.0,588.0,323.0,394.0,366.0,358.0,382.0,1059.0,641.0,944.0,673.0,867.0,674.0,773.0,728.0,766.0,687.0,931.0,712.0,975.0,735.0
labeled-data,vid0,000000000047.png,271.0,266.0,380.0,303.0,481.0,289.0,566.0,277.0,589.0,326.0,396.0,376.0,360.0,392.0,1069.0,632.0,953.0,664.0,876.0,665.0,780.0,714.0,776.0,669.0,941.0,703.0,984.0,727.0
labeled-data,vid0,000000000051.png,272.0,278.0,380.0,313.0,480.0,301.0,557.0,280.0,587.0,330.0,395.0,388.0,360.0,402.0,1078.0,622.0,963.0,655.0,885.0,656.0,787.0,699.0,787.0,650.0,950.0,694.0,993.0,717.0
labeled-data,vid0,000000000055.png,273.0,290.0,380.0,325.0,480.0,313.0,550.0,282.0,586.0,335.0,395.0,399.0,360.0,414.0,1088.0,614.0,973.0,645.0,895.0,646.0,796.0,684.0,800.0,631.0,959.0,685.0,1002.0,709.0
labeled-data,vid0,000000000059.png,276.0,302.0,382.0,337.0,481.0,324.0,541.0,283.0,583.0,340.0,398.0,409.0,361.0,425.0,1098.0,604.0,982.0,635.0,904.0,635.0,803.0,668.0,812.0,612.0,968.0,675.0,1012.0,699.0
labeled-data,vid0,000000000063.png,280.0,313.0,385.0,348.0,484.0,335.0,534.0,286.0,583.0,345.0,399.0,419.0,365.0,435.0,1109.0,593.0,993.0,625.0,914.0,626.0,813.0,653.0,827.0,594.0,979.0,665.0,1021.0,689.0
